data,id_tipo_trans,importo,id_conto
2019-09-10,0,31.436119,238
2021-06-17,2,216.32071,81
2020-02-06,1,108.18661,92
2020-09-24,1,7.9262223,61
2019-07-22,0,20.360209,141
2021-10-01,0,29.667528,205
2022-01-01,0,46.064941,153
2021-03-23,1,52.265369,34
2020-08-30,1,53.807598,13
2021-10-10,2,205.00046,218
2021-09-24,0,49.577484,33
2021-09-15,0,83.909088,126
2019-08-25,0,24.645359,81
2019-08-29,1,104.20321,184
2019-11-27,2,159.05121,217
2022-04-04,2,27.208641,117
2020-07-04,0,42.957787,235
2020-11-21,1,82.437492,181
2020-11-22,0,23.724525,175
2021-05-24,0,33.170055,237
2020-01-03,2,73.461014,52
2021-04-27,2,501.58997,106
2020-01-30,1,86.406876,100
2021-05-04,0,150.98863,221
2021-09-06,0,2.8840959,70
2022-05-16,1,27.298122,232
2021-06-18,0,69.866394,208
2020-12-06,1,45.858868,157
2019-09-06,1,38.966461,195
2021-05-01,1,93.180305,142
2020-05-02,2,237.26384,147
2020-04-29,0,97.541023,220
2021-12-25,2,103.12801,110
2019-09-19,2,118.87031,127
2022-03-12,1,87.341843,35
2020-01-13,1,40.628819,163
2020-07-31,0,57.372829,225
2021-04-09,1,16.44768,191
2021-12-30,0,132.29596,9
2021-08-17,0,44.367348,165
2022-02-24,0,14.197104,93
2020-02-13,0,238.09818,66
2022-05-23,0,38.017467,78
2021-11-02,1,29.530666,135
2021-11-12,2,4.1440334,1
2019-10-28,0,60.566135,234
2019-07-04,2,56.552692,237
2022-03-17,0,88.260941,202
2019-08-12,2,105.14341,169
2019-07-07,2,249.83467,142
2020-06-23,0,26.30018,130
2020-10-20,1,43.512566,84
2020-08-28,1,53.672535,92
2022-04-04,1,40.277756,176
2021-11-07,1,19.976978,229
2021-09-29,2,87.398109,106
2020-04-21,0,8.9510336,70
2021-03-31,0,32.471901,236
2021-03-01,1,35.138065,204
2021-01-30,0,101.07217,116
2021-02-28,0,16.565649,198
2021-02-20,0,35.064735,111
2020-03-04,2,34.596222,75
2019-08-12,0,21.166157,22
2021-07-07,0,46.30582,22
2021-10-17,1,52.268642,22
2021-05-31,2,156.47662,113
2020-04-05,2,53.987144,98
2022-03-04,0,24.549065,143
2019-06-11,0,60.552635,156
2020-07-02,2,39.950134,152
2022-06-06,0,14.132533,54
2021-02-20,0,67.80822,179
2021-06-22,1,38.568993,75
2020-11-10,2,52.412621,173
2020-05-18,1,60.490082,41
2020-08-23,1,111.03596,202
2020-01-30,1,67.838051,7
2022-01-12,2,18.314957,37
2021-08-27,0,237.8387,210
2020-08-08,1,30.082554,213
2020-07-07,0,11.634772,92
2021-07-24,1,67.24678,7
2021-08-05,0,24.230207,181
2020-04-08,1,220.79878,160
2019-09-09,0,95.87281,125
2021-04-07,0,51.731472,128
2019-10-27,1,127.73228,162
2020-01-23,0,67.144615,114
2020-07-11,1,5.7199354,235
2020-12-20,1,109.54134,101
2021-07-28,2,73.53479,220
2020-11-24,1,94.443085,126
2022-01-06,0,36.339046,157
2019-07-27,0,34.163723,198
2021-03-19,2,18.004757,68
2020-11-22,2,59.579922,9
2021-11-18,1,25.432617,135
2020-07-03,0,22.747829,82
2019-12-13,2,23.301598,108
2019-12-10,0,548.48889,94
2020-04-26,2,64.62616,77
2019-07-29,0,19.718628,109
2020-02-09,0,40.417126,217
2021-04-13,2,193.80402,103
2020-06-13,0,13.537679,34
2021-01-16,1,137.43634,111
2020-08-04,1,59.186077,105
2022-03-13,0,19.477623,173
2020-05-10,1,59.989475,148
2020-09-21,0,71.812492,235
2022-01-05,1,92.635834,216
2021-06-29,2,145.46704,143
2020-07-31,0,22.360327,79
2021-10-10,0,138.85748,85
2021-03-28,1,36.958908,171
2020-10-23,2,603.00098,55
2019-07-15,0,45.076057,198
2021-12-14,2,16.037348,158
2021-09-11,0,48.707611,150
2020-06-30,1,43.301098,160
2021-07-31,1,31.277191,113
2021-12-19,2,34.408333,146
2020-12-12,1,553.83649,10
2020-02-21,2,14.937947,221
2022-02-08,1,52.277142,90
2019-09-09,2,5.2111573,203
2020-10-09,1,92.412407,26
2020-06-16,2,28.071167,157
2022-01-09,1,240.69283,208
2020-06-01,2,88.498108,72
2021-05-13,0,166.08318,8
2022-01-27,2,37.76527,162
2021-03-11,1,245.81386,92
2019-12-03,1,143.85117,166
2020-01-14,0,192.09154,127
2021-03-04,1,55.132202,104
2021-06-15,0,20.080627,128
2022-01-13,2,97.629059,100
2021-04-18,1,64.333435,26
2021-05-08,0,50.148651,142
2021-01-13,0,393.85272,122
2022-02-17,1,42.003582,59
2019-07-17,0,21.662411,226
2019-08-12,0,64.413406,160
2022-04-04,2,40.426052,51
2021-09-09,2,24.162764,231
2020-11-01,2,3.4847105,100
